original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
4519,Google Play,IN,80078f3f-4a7e-4828-9db3-bba61e4da709,donald ndebele,5,"Best ever online & offline all ganre music player, at a very cheap cost. For only 3 usd pm you can enjoy ur own music choice. They can also create daily mixes based on ur history playlist...absolute great!! I wonder why it took me so long...i recommend 110%. One you pay not even a single ad pops up",,2026-06-26 21:54:00,9.1.60.1970,6,"recommendation,playlist","playlist,recommend",0,6,True,False
4908,Google Play,IN,60899af4-92ca-4116-b3b5-c23190bdb640,Bronagh Balemi,5,"I rate Spotify. Been using it for many years. I pay for it so I can't speak to the unpaid side of things, but if you like music (and podcasts) it's easy to use, very accessible and no real hidden costs once you sign up. Pretty much has everything you need, and good Ai integrations for finding similar music, you searching for new music. I use it on a daily.",,2026-06-26 11:47:50,9.1.58.1567,6,discovery,new music,0,6,True,False
5099,Apple App Store,US,14251718754,Frostpoppy,5,"This app is really good and has tons of songs, audio books and podcasts. You can create playlists so you get to listen to all of your favorite songs without having to put them on queue. I would definitely recommend this app! Have a good day!!❤️⭐️😀",Really good,2026-07-01T18:15:24-07:00,9.1.60,6,"recommendation,playlist","playlists,recommend",0,6,True,False
5265,Apple App Store,US,14250463138,Joandasha,5,I listen to smooth jazz everyday while I work. It sets the pace and the tone for the day. Spotify has every title that I am interested in and introduces me to new music too. Can’t start my day without it.,Listening to Good music while you working,2026-07-01T10:56:27-07:00,9.1.60,6,discovery,new music,0,6,True,False
5389,Apple App Store,US,14248537032,H@iii,5,"I love l can find the songs l like and new ones, it also plays out of the app which is nice, you can make more than one playlist, and you can listen to your playlist while doing something or put it on shuffle to add uniqueness to it when you want, overall l generally like the app for all the things you can do with it, l just wish it worked without internet but the good overweights the bad so it’s a very good app in my opinion",I love this app,2026-07-01T01:09:48-07:00,9.1.60,6,playlist,"playlist,shuffle",0,6,True,False
5397,Apple App Store,US,14248347245,Youdontknowandyoudontneedto.,5,"This app really helps me open my horizons to new music, but please add back free song skips and letting us pick out songs without premium. It’s really annoying because premium is so expensive.",Great app!,2026-06-30T23:54:34-07:00,9.1.60,6,discovery,new music,0,6,True,False
5481,Apple App Store,US,14247342679,Smelled like cherry Chapstick,5,Put 6 peak Deltarune songs on a playlist then used shuffle and listened for 12 hours,Peak,2026-06-30T17:45:21-07:00,9.1.60,6,playlist,"playlist,shuffle",0,6,True,False
5944,Apple App Store,AU,14215399378,LuluRicho,5,I love that it suggests new music. I have so much more music that I enjoy to choose from now.,Variety,2026-06-22T21:22:41-07:00,9.1.58,6,discovery,new music,0,6,True,False
5968,Apple App Store,AU,14211700090,Jess1c4 H,5,Wrapped should ALWAYS have the number of new songs we listened to that year,Spotify wrapped,2026-06-21T22:33:49-07:00,9.1.58,6,discovery,new songs,0,6,True,False
6199,Apple App Store,CA,14252542823,willa72n,5,I am a big fan of music and I’d have to say this is way cheaper and way better than the music app.it really makes me feel joy and I love learning new music that pops up after my song I put  in and this app makes me comfortably happy and I will never ever use a different all other than this one. To the creators of Spotify.,Why this is the best music app ever,2026-07-01T23:29:30-07:00,9.1.60,6,discovery,new music,0,6,True,False
